Artist	Song Title	UK	NA	AU	DE	ES	FR	HR	NL
Marea	"Ciudad de los Gitanos"	No	No	No	No	Yes	No	No	No
Marvin Gaye	"I Heard It Through the Grapevine"	No	Yes	No	No	No	No	No	No
Mass Hysteria	"Remède"	No	No	No	No	No	Yes	No	No
Matthias Reim	"Verdammt, Ich Lieb Dich"	No	No	No	Yes	No	No	No	No
Maxïmo Park	"Apply Some Pressure"	Yes	No	No	No	No	No	No	No
M-Clan	"Sopa Fría"	No	No	No	No	Yes	No	No	No
Medina Azahara	"Necesito Respirar"	No	No	No	No	Yes	No	No	No
Men at Work	"Down Under"	No	No	Yes	No	No	No	No	No
Miossec	"Je m'en vais"	No	No	No	No	No	Yes	No	No
Naked Eyes	"(There's) Always Something There to Remind Me"	No	Yes	No	No	No	No	No	No
Nirvana	"Come As You Are"	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
The Offspring	"Self Esteem"	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes
Parni Valjak	"Lutka za bal (live)"	No	No	No	No	No	No	Yes	No
Pereza	"Pienso en Aquella Tarde"	No	No	No	No	Yes	No	No	No
Peter Koelewijn	"Kom Van Dat Dak Af"	No	No	No	No	No	No	No	Yes
Platero y Tú	"Juliette"	No	No	No	No	Yes	No	No	No
The Police	"Every Breath You Take"	No	Yes	No	No	No	No	No	No
Porretas	"Pongamos Que Hablo de Madrid"	No	No	No	No	Yes	No	No	No
Powderfinger	"(Baby I've Got You) On My Mind"	No	No	Yes	No	No	No	No	No
Powderfinger	"These Days"	No	No	Yes	No	No	No	No	No
Prljavo Kazalište	"Heroj Ulice"	No	No	No	No	No	No	Yes	No
Psihomodo Pop	"Ja Volim Samog Sebe"	No	No	No	No	No	No	Yes	No
Queen	"Don't Stop Me Now"	Yes	No	No	Yes	No	No	No	Yes
Queens of the Stone Age	"Go With The Flow"	Yes	No	No	No	No	No	Yes	Yes
Raphaël	"Caravane"	No	No	No	No	No	Yes	No	No
